TS : 4846789, TJ : 3396752
TS : 5391244, TJ : 4244028
TS : 2633193, TJ : 1488715
TS : 2593200, TJ : 1450054
TS : 2666976, TJ : 1582221
TS : 2084606, TJ : 1928468
TS : 4172636, TJ : 4032109
TS : 4501226, TJ : 4355189
TS : 1640511, TJ : 1503881
TS : 1722208, TJ : 1579863
TS : 4413840, TJ : 4269051
TS : 1665844, TJ : 1522350
TS : 1971418, TJ : 1827175
TS : 1636560, TJ : 1492943
TS : 3280276, TJ : 3138846
TS : 1816295, TJ : 1260591
TS : 1734439, TJ : 1590832
TS : 1683358, TJ : 1531929
TS : 1590483, TJ : 1450947
TS : 1894302, TJ : 1752124
TS : 1722849, TJ : 1043908
TS : 1719622, TJ : 1571717
TS : 1680771, TJ : 1530086
TS : 1663765, TJ : 1525045
TS : 1790443, TJ : 1635900
TS : 2630589, TJ : 2475723
TS : 6717819, TJ : 6576471
TS : 2521700, TJ : 1383920
TS : 2532404, TJ : 1461131
TS : 2654037, TJ : 1513690
TS : 2441892, TJ : 1354971
TS : 2479537, TJ : 1334005
TS : 2300266, TJ : 1350879
TS : 1995183, TJ : 1853796
TS : 1611871, TJ : 1455496
TS : 1865592, TJ : 1693709
TS : 1863719, TJ : 1723155
TS : 33168098, TJ : 33023246
TS : 2875739, TJ : 1484458
TS : 6972052, TJ : 5893351
TS : 2524777, TJ : 1326618
TS : 2425526, TJ : 1371338
TS : 2571565, TJ : 1282586
TS : 2674198, TJ : 1489286
TS : 2518508, TJ : 1383861
TS : 2669868, TJ : 1321067
TS : 3921150, TJ : 2821919
TS : 1869202, TJ : 1327794
TS : 1983286, TJ : 1844123
TS : 1719448, TJ : 1568036
TS : 1673641, TJ : 1491533
TS : 2105415, TJ : 1962657
TS : 36849918, TJ : 36696028
TS : 2333263, TJ : 1242618
TS : 8857675, TJ : 7657070
TS : 2718965, TJ : 1558039
TS : 2541375, TJ : 1428720
TS : 2835585, TJ : 1428772
TS : 5551751, TJ : 4277685
