TS : 3114337, TJ : 1954671
TS : 2991554, TJ : 2600670
TS : 2189850, TJ : 1758747
TS : 2333931, TJ : 1936765
TS : 2128655, TJ : 1751787
TS : 2955339, TJ : 2504349
TS : 2600792, TJ : 2513941
TS : 2078570, TJ : 1707700
TS : 2462477, TJ : 1759000
TS : 5441719, TJ : 5046565
TS : 5574778, TJ : 5234240
TS : 2156246, TJ : 1776885
TS : 2273382, TJ : 1908883
TS : 2008554, TJ : 1671011
TS : 5611362, TJ : 5176582
TS : 6405492, TJ : 6051617
TS : 3292677, TJ : 2739362
TS : 15665787, TJ : 15306296
TS : 24481532, TJ : 24078163
TS : 1964143, TJ : 1577415
TS : 1998887, TJ : 1615523
TS : 1918593, TJ : 1569513
TS : 2221822, TJ : 1860238
TS : 1897857, TJ : 1521433
TS : 4955631, TJ : 4601831
TS : 6041092, TJ : 2000111
TS : 1968219, TJ : 1555083
TS : 2051690, TJ : 1606574
TS : 2540626, TJ : 1870005
TS : 2369317, TJ : 1996591
TS : 2046787, TJ : 1698814
TS : 1917623, TJ : 1561539
TS : 1996874, TJ : 1601385
TS : 4965240, TJ : 4562680
TS : 2320200, TJ : 1959379
TS : 2505749, TJ : 2090198
TS : 2227706, TJ : 1874328
TS : 5582122, TJ : 5204651
TS : 3992307, TJ : 3579136
TS : 3431057, TJ : 2384051
TS : 2124531, TJ : 1757378
TS : 1806315, TJ : 1423538
TS : 3046184, TJ : 1870531
TS : 7068902, TJ : 6701454
TS : 14786553, TJ : 14354001
TS : 2050113, TJ : 1717455
TS : 3143528, TJ : 2725657
TS : 1931838, TJ : 1542603
TS : 5683360, TJ : 5216854
TS : 13163492, TJ : 12769615
TS : 59685432, TJ : 58362202
TS : 2363185, TJ : 1969513
TS : 1922341, TJ : 1562247
TS : 12933073, TJ : 12489373
TS : 2335553, TJ : 1873363
TS : 2093263, TJ : 1708167
TS : 3968453, TJ : 3602782
TS : 7213017, TJ : 6790847
TS : 7546757, TJ : 4989102
TS : 2173996, TJ : 1796609
TS : 2492774, TJ : 2030172
TS : 2297637, TJ : 1873090
TS : 5303518, TJ : 4942158
TS : 1889064, TJ : 1546660
TS : 10787259, TJ : 10469814
TS : 1831128, TJ : 1554608
TS : 14893595, TJ : 14553975
TS : 5150213, TJ : 4764370
TS : 9711200, TJ : 9209014
TS : 2125944, TJ : 1489383
TS : 1751484, TJ : 1465561
TS : 1952774, TJ : 1560823
TS : 1613864, TJ : 1332558
TS : 2079761, TJ : 1728692
TS : 1583423, TJ : 1314498
TS : 14347048, TJ : 14047943
TS : 1823929, TJ : 1563714
TS : 9605934, TJ : 9118196
TS : 3888163, TJ : 3468860
TS : 1668705, TJ : 1352175
TS : 1986859, TJ : 1612513
TS : 2062218, TJ : 1728593
TS : 1842659, TJ : 1512950
TS : 5076357, TJ : 4662678
TS : 2062543, TJ : 1724413
TS : 5039661, TJ : 4675201
TS : 1995449, TJ : 1617362
TS : 1884056, TJ : 1526891
TS : 11402013, TJ : 11073939
TS : 2311824, TJ : 1801171
TS : 2029476, TJ : 1660333
TS : 5766144, TJ : 5061105
TS : 1865647, TJ : 1508517
TS : 1859292, TJ : 1494600
TS : 3389856, TJ : 1669198
TS : 2049296, TJ : 1635577
TS : 4658747, TJ : 4296404
TS : 5149881, TJ : 4807427
TS : 1808444, TJ : 1472691
TS : 1965615, TJ : 1607552
TS : 1872229, TJ : 1497889
TS : 1983919, TJ : 1600629
TS : 1729064, TJ : 1450013
TS : 1662347, TJ : 1392075
TS : 19094334, TJ : 18794502
TS : 1845070, TJ : 1478769
TS : 1955473, TJ : 1573628
TS : 1983739, TJ : 1590338
TS : 1959785, TJ : 1585912
TS : 1803497, TJ : 1452380
TS : 1983399, TJ : 1612070
TS : 1935370, TJ : 1611815
TS : 6958009, TJ : 6617330
TS : 2472146, TJ : 1828103
TS : 1936878, TJ : 1592044
TS : 1843355, TJ : 1527672
TS : 1972782, TJ : 1680230
TS : 2400810, TJ : 2013795
TS : 1852820, TJ : 1547372
TS : 11146933, TJ : 10713420
TS : 2346654, TJ : 2013088
TS : 1839331, TJ : 1535905
