TS : 3679663, TJ : 2041497
TS : 2432529, TJ : 1243156
TS : 2647840, TJ : 1410077
TS : 2344948, TJ : 1299322
TS : 2651770, TJ : 1439952
TS : 4827719, TJ : 3870834
TS : 2181352, TJ : 1152024
TS : 2455221, TJ : 1305845
TS : 1998558, TJ : 1086122
TS : 5307053, TJ : 4274950
TS : 2301551, TJ : 1169973
TS : 2072800, TJ : 1332176
TS : 4396056, TJ : 3452083
TS : 1398789, TJ : 762042
TS : 4193511, TJ : 1007903
TS : 2076711, TJ : 1071421
TS : 2036339, TJ : 1106610
TS : 2243698, TJ : 1169104
TS : 2265163, TJ : 1172337
TS : 2169564, TJ : 1149219
TS : 2209931, TJ : 1142755
TS : 2133392, TJ : 1146660
TS : 1926676, TJ : 983647
TS : 1799817, TJ : 897760
TS : 1722983, TJ : 889981
TS : 1490207, TJ : 701869
TS : 1610429, TJ : 767502
TS : 1637301, TJ : 800432
TS : 1432655, TJ : 722471
TS : 1473853, TJ : 743436
TS : 1421172, TJ : 762138
TS : 4643879, TJ : 3987308
TS : 2024721, TJ : 997396
TS : 1712359, TJ : 810437
TS : 4468693, TJ : 3638341
TS : 1374586, TJ : 789662
TS : 28766925, TJ : 27773628
TS : 1345700, TJ : 767976
TS : 1773581, TJ : 1185518
TS : 3738763, TJ : 3247105
TS : 1229348, TJ : 706045
TS : 1266337, TJ : 759727
TS : 1898248, TJ : 952542
TS : 1355719, TJ : 749127
TS : 1230249, TJ : 721466
TS : 1184185, TJ : 666844
TS : 1489308, TJ : 797553
TS : 2000254, TJ : 897118
TS : 1227395, TJ : 680546
TS : 1390966, TJ : 739138
TS : 1318732, TJ : 704670
TS : 1300851, TJ : 648071
TS : 1355022, TJ : 657400
TS : 1354557, TJ : 694400
TS : 1310746, TJ : 640677
TS : 1277484, TJ : 595157
TS : 1200578, TJ : 673236
TS : 1324433, TJ : 681613
TS : 2153482, TJ : 1174751
TS : 2158992, TJ : 1206521
TS : 2032021, TJ : 1034927
TS : 1333625, TJ : 787819
TS : 1320439, TJ : 751470
TS : 1295260, TJ : 743449
TS : 51602043, TJ : 50634819
TS : 2029196, TJ : 1106605
TS : 2197623, TJ : 1151687
