TS : 4897235, TJ : 2113118
TS : 6361721, TJ : 5250657
TS : 2382804, TJ : 1263881
TS : 3694144, TJ : 1782199
TS : 2632904, TJ : 1409416
TS : 15665893, TJ : 14524136
TS : 2762733, TJ : 1568841
TS : 6392215, TJ : 5335916
TS : 2909901, TJ : 1708159
TS : 3109887, TJ : 1803060
TS : 2473567, TJ : 1361703
TS : 17849200, TJ : 16741528
TS : 2528134, TJ : 1435635
TS : 2551669, TJ : 1388027
TS : 8705566, TJ : 7351171
TS : 8154297, TJ : 7199011
TS : 2342341, TJ : 1258360
TS : 24007849, TJ : 22916672
TS : 2896652, TJ : 1593805
TS : 3142509, TJ : 2052362
TS : 2399567, TJ : 1359242
TS : 4331654, TJ : 2258975
TS : 60097384, TJ : 58979782
TS : 2691729, TJ : 1553996
TS : 2495553, TJ : 1406151
TS : 2288387, TJ : 1299039
TS : 6190382, TJ : 2652086
TS : 30832917, TJ : 29820946
TS : 2776027, TJ : 1532375
TS : 3711876, TJ : 2561325
TS : 5886873, TJ : 4240638
TS : 4922565, TJ : 1626634
TS : 6649671, TJ : 5478889
TS : 3720157, TJ : 2565212
TS : 2553266, TJ : 1561187
TS : 2593381, TJ : 1514212
TS : 5787545, TJ : 4712954
TS : 2597574, TJ : 1558307
TS : 2477082, TJ : 1385597
TS : 2398602, TJ : 1393211
TS : 3197279, TJ : 1904693
TS : 6438223, TJ : 2819515
TS : 20274876, TJ : 18647956
TS : 3167168, TJ : 2073073
TS : 10642652, TJ : 9558870
TS : 2562232, TJ : 1380990
TS : 98304162, TJ : 97168786
TS : 2503822, TJ : 1310899
TS : 2391519, TJ : 1280379
TS : 5989281, TJ : 4905367
TS : 2485302, TJ : 1487993
TS : 2427718, TJ : 1382990
TS : 13683906, TJ : 12422634
TS : 3771525, TJ : 2712824
TS : 2554351, TJ : 1371911
TS : 2378588, TJ : 1401242
TS : 2976257, TJ : 1593415
TS : 9064072, TJ : 8063269
TS : 2886370, TJ : 1689295
TS : 3293935, TJ : 1854761
TS : 13913859, TJ : 12942835
TS : 5242690, TJ : 1971241
TS : 2391730, TJ : 1392243
TS : 14388573, TJ : 12427178
TS : 2922585, TJ : 1799325
TS : 2282813, TJ : 1215943
TS : 16161826, TJ : 8006736
TS : 18153112, TJ : 5576278
TS : 18362724, TJ : 12245160
TS : 21162690, TJ : 16229143
TS : 23406079, TJ : 13230729
TS : 2565339, TJ : 1384869
TS : 4672142, TJ : 1604610
TS : 6947675, TJ : 5162925
TS : 2737788, TJ : 1609072
TS : 280672552, TJ : 279611973
TS : 7584821, TJ : 6426699
TS : 8620482, TJ : 7130739
TS : 3555222, TJ : 1497563
TS : 6010706, TJ : 4760982
TS : 3300234, TJ : 1875143
TS : 3256891, TJ : 2020242
TS : 3221170, TJ : 1768649
TS : 7007724, TJ : 5965360
TS : 8783982, TJ : 7768677
TS : 3316739, TJ : 1965725
TS : 3181914, TJ : 1775373
TS : 7162135, TJ : 5775041
TS : 2864533, TJ : 1765467
TS : 6648638, TJ : 5414101
TS : 4664127, TJ : 3305322
TS : 3055436, TJ : 1821889
TS : 4800026, TJ : 2907760
TS : 2605834, TJ : 1509849
TS : 2301579, TJ : 1300935
TS : 17347037, TJ : 16251654
TS : 3212045, TJ : 1864268
TS : 3218925, TJ : 1335412
TS : 5802598, TJ : 4711475
TS : 3098905, TJ : 1663840
TS : 17751287, TJ : 16117590
TS : 8698239, TJ : 7397105
TS : 3118491, TJ : 1500644
TS : 5494855, TJ : 4043334
TS : 2561317, TJ : 1425209
TS : 3625933, TJ : 2657416
TS : 2964751, TJ : 1674471
TS : 2692389, TJ : 1544553
TS : 5868133, TJ : 4785359
TS : 2840665, TJ : 1645918
TS : 2371343, TJ : 1269483
TS : 3265355, TJ : 1938512
TS : 4145485, TJ : 1226992
TS : 5488053, TJ : 4032710
TS : 2579260, TJ : 1542383
TS : 7101706, TJ : 5084847
TS : 7433102, TJ : 5027929
TS : 2333924, TJ : 1230346
TS : 7947619, TJ : 7045342
TS : 2353029, TJ : 1295173
TS : 5680697, TJ : 4692764
TS : 3240033, TJ : 1644483
TS : 6764473, TJ : 5149064
TS : 6581011, TJ : 5579797
TS : 5445702, TJ : 4491666
TS : 5975913, TJ : 4876902
TS : 2942014, TJ : 1698298
TS : 2422730, TJ : 1413264
TS : 2424854, TJ : 1360568
TS : 8802022, TJ : 7847685
TS : 3233254, TJ : 1679202
TS : 2592014, TJ : 1510548
TS : 2725324, TJ : 1517708
TS : 4230582, TJ : 1290904
TS : 5769478, TJ : 4252350
TS : 2868874, TJ : 1720402
TS : 3679374, TJ : 1760532
TS : 6152414, TJ : 5179182
TS : 2154512, TJ : 1191681
TS : 8941539, TJ : 7886595
TS : 2501209, TJ : 1411516
TS : 4384834, TJ : 3150276
TS : 7291097, TJ : 6273115
TS : 2196487, TJ : 1227718
TS : 2709535, TJ : 1565542
TS : 42631428, TJ : 41733275
TS : 2630489, TJ : 1492022
TS : 2230570, TJ : 1253941
TS : 11388892, TJ : 10218229
TS : 21956280, TJ : 20851758
TS : 3401158, TJ : 2003722
TS : 5924223, TJ : 4585379
TS : 2262447, TJ : 1206118
TS : 2834175, TJ : 1458115
TS : 9645818, TJ : 8586549
TS : 3035406, TJ : 1625701
TS : 3282510, TJ : 1893332
TS : 2306547, TJ : 1273251
TS : 2466426, TJ : 1418690
TS : 6270331, TJ : 5032948
TS : 3078565, TJ : 1769679
TS : 2289646, TJ : 1284703
TS : 9780607, TJ : 8611068
TS : 2331011, TJ : 1297680
TS : 3446340, TJ : 2144793
TS : 3369790, TJ : 2156059
TS : 2225698, TJ : 1260649
TS : 8646519, TJ : 7552485
TS : 2660774, TJ : 1579068
TS : 2232093, TJ : 1241512
TS : 2938578, TJ : 1705732
TS : 2939617, TJ : 1606999
TS : 2121315, TJ : 1149873
TS : 2756945, TJ : 1567738
TS : 6037606, TJ : 5008715
TS : 2287815, TJ : 1311055
TS : 4951206, TJ : 3573350
TS : 5964794, TJ : 2259047
TS : 3005837, TJ : 1551001
TS : 2625139, TJ : 1535514
TS : 3356105, TJ : 1932917
TS : 2907147, TJ : 1889859
TS : 7383775, TJ : 5831536
TS : 3177085, TJ : 1981308
TS : 3130708, TJ : 1882203
TS : 3160716, TJ : 1613367
TS : 2161736, TJ : 1224433
TS : 6176452, TJ : 4947675
TS : 2627828, TJ : 1539540
TS : 2404234, TJ : 1401930
TS : 2868480, TJ : 1763644
TS : 5266414, TJ : 1943961
TS : 2978376, TJ : 1615380
TS : 4134336, TJ : 1211980
TS : 5303082, TJ : 3914293
