TS : 123552412, TJ : 119993137
TS : 204704574, TJ : 117351255
TS : 74439632, TJ : 73408933
TS : 2129354, TJ : 1198700
TS : 4049952, TJ : 1768150
TS : 3805132, TJ : 2291170
TS : 3138753, TJ : 1490119
TS : 3694262, TJ : 2284281
TS : 2815912, TJ : 1703163
TS : 3621363, TJ : 1898524
TS : 2422655, TJ : 1457817
TS : 6527381, TJ : 5070707
TS : 7956896, TJ : 3464036
TS : 16237147, TJ : 15570848
TS : 6462835, TJ : 4967804
TS : 7235574, TJ : 3637530
TS : 2435841, TJ : 1488093
TS : 2304415, TJ : 1376384
TS : 2838564, TJ : 1695163
TS : 2260305, TJ : 1148017
TS : 2484204, TJ : 1579944
TS : 3406805, TJ : 1563140
TS : 4168476, TJ : 3019174
TS : 2686282, TJ : 1694768
TS : 1653359, TJ : 1526242
TS : 11980386, TJ : 11174698
TS : 2803885, TJ : 1671967
TS : 4498559, TJ : 1703106
TS : 5520658, TJ : 4242671
TS : 944104, TJ : 815202
TS : 3834162, TJ : 3063105
TS : 2404039, TJ : 1391229
TS : 4701258, TJ : 2055990
TS : 13524378, TJ : 12290496
TS : 2190945, TJ : 1259316
TS : 1543303, TJ : 865449
TS : 2394982, TJ : 1396514
TS : 3365526, TJ : 2411094
TS : 2301379, TJ : 1371089
TS : 6883532, TJ : 5978618
TS : 2290241, TJ : 1312872
TS : 72692826, TJ : 71487534
TS : 2261969, TJ : 1280487
TS : 5607496, TJ : 4413434
TS : 2420117, TJ : 1451372
TS : 2814657, TJ : 1725004
TS : 8113278, TJ : 6983681
TS : 6269843, TJ : 4337099
TS : 10222650, TJ : 5716118
TS : 11983395, TJ : 4161098
TS : 14093723, TJ : 9559211
TS : 16727129, TJ : 10420706
TS : 5790765, TJ : 1064174
TS : 8031368, TJ : 3887509
TS : 9482696, TJ : 4484432
TS : 10197197, TJ : 7263182
TS : 8561462, TJ : 7880471
TS : 9750544, TJ : 6157801
TS : 11177373, TJ : 3851717
TS : 13444272, TJ : 11366944
TS : 23108939, TJ : 17761806
TS : 6580414, TJ : 4207079
TS : 8289002, TJ : 5052970
TS : 8810703, TJ : 6811535
TS : 9949299, TJ : 4943384
TS : 11225666, TJ : 9603695
TS : 3978146, TJ : 1649023
TS : 7712269, TJ : 6892487
TS : 6144317, TJ : 4958606
