TS : 52951524, TJ : 52228961
TS : 11547353, TJ : 10451695
TS : 1835866, TJ : 1540920
TS : 37722526, TJ : 34572963
TS : 44539328, TJ : 42930448
TS : 13668562, TJ : 4242137
TS : 13299079, TJ : 7005902
TS : 2476851, TJ : 2215187
TS : 1905413, TJ : 1600051
TS : 73892828, TJ : 73650252
TS : 3321511, TJ : 1766886
TS : 1803768, TJ : 1543813
TS : 4737599, TJ : 4466774
TS : 11557642, TJ : 11206885
TS : 87867206, TJ : 87547215
TS : 2354658, TJ : 2055817
TS : 34657017, TJ : 33643970
TS : 3076642, TJ : 2550652
TS : 4828819, TJ : 4039309
TS : 4087671, TJ : 2438127
TS : 11184768, TJ : 10314315
TS : 4728431, TJ : 2618499
TS : 14846163, TJ : 11401159
TS : 21805858, TJ : 19796172
TS : 578971282, TJ : 573629444
TS : 20445373, TJ : 15199209
TS : 885140571, TJ : 884246756
TS : 2038210, TJ : 1778439
TS : 15173808, TJ : 13846337
TS : 12307758, TJ : 12076491
TS : 18813612, TJ : 18312901
TS : 17830573, TJ : 12194009
TS : 5581933, TJ : 1473927
TS : 23999214, TJ : 19796857
TS : 27977844, TJ : 21511380
TS : 2241148, TJ : 2002242
TS : 17299555, TJ : 17054815
TS : 62941345, TJ : 54570874
TS : 15658423, TJ : 6348007
TS : 19369317, TJ : 15526167
TS : 26860288, TJ : 25102480
TS : 27250116, TJ : 22043365
TS : 30761648, TJ : 30547297
TS : 5011160, TJ : 1794249
TS : 23540002, TJ : 22324689
TS : 2426614, TJ : 2154839
TS : 3275041, TJ : 1814936
TS : 1712746, TJ : 1446178
TS : 90691432, TJ : 88457634
TS : 16470536, TJ : 16145252
TS : 57918050, TJ : 55455258
TS : 5427446, TJ : 4622936
TS : 9540178, TJ : 9084842
TS : 19936367, TJ : 19697246
TS : 2295045, TJ : 1750965
TS : 4472659, TJ : 3829948
TS : 5646265, TJ : 5055947
TS : 165471321, TJ : 163121060
TS : 9257805, TJ : 7725559
TS : 11755552, TJ : 10919532
TS : 10681448, TJ : 8881393
TS : 96528474, TJ : 95552096
TS : 126037178, TJ : 124548778
TS : 37401821, TJ : 31739813
TS : 28538023, TJ : 27794650
TS : 136640996, TJ : 136399576
TS : 2999117, TJ : 1455924
TS : 4386815, TJ : 3664856
TS : 1748396, TJ : 1503498
TS : 1665086, TJ : 1435904
TS : 5977597, TJ : 3317813
TS : 6008568, TJ : 4943231
TS : 7750758, TJ : 3652279
TS : 5335136, TJ : 3491278
TS : 113307085, TJ : 112633962
TS : 29345449, TJ : 28422689
TS : 40583667, TJ : 40021149
TS : 1719758, TJ : 1471127
TS : 3869463, TJ : 3160742
TS : 2805665, TJ : 1476666
TS : 11303932, TJ : 10837321
TS : 6504416, TJ : 5680030
TS : 11468981, TJ : 10975607
TS : 1746356, TJ : 1484599
TS : 16857887, TJ : 16620197
TS : 19814212, TJ : 16592497
TS : 79863825, TJ : 79123364
TS : 2130898, TJ : 1813491
TS : 2355236, TJ : 2058268
TS : 2559042, TJ : 1594796
TS : 1774971, TJ : 1474415
TS : 2393979, TJ : 1370186
TS : 5768215, TJ : 4851855
TS : 5324982, TJ : 3267074
TS : 8665205, TJ : 5572337
TS : 2907246, TJ : 2522713
TS : 1716589, TJ : 1464414
TS : 1642346, TJ : 1409818
TS : 1686369, TJ : 1418940
TS : 4694911, TJ : 4450692
TS : 3504424, TJ : 2798119
TS : 4215938, TJ : 2857889
TS : 7739708, TJ : 7469547
TS : 1782570, TJ : 1559397
TS : 1706753, TJ : 1465024
TS : 2836477, TJ : 1939811
TS : 2246211, TJ : 1953696
TS : 3565756, TJ : 2090140
TS : 1611787, TJ : 1351848
TS : 1573123, TJ : 1340136
TS : 2113853, TJ : 1651078
TS : 40870006, TJ : 40598783
TS : 1719063, TJ : 1497178
TS : 23299461, TJ : 22564286
TS : 127692916, TJ : 127438011
TS : 543160979, TJ : 537078646
TS : 12209334, TJ : 11789772
TS : 2318554, TJ : 1644242
TS : 10723041, TJ : 10494100
TS : 8804947, TJ : 8578836
TS : 18594385, TJ : 17692739
TS : 3742538, TJ : 2060537
TS : 4938452, TJ : 4379557
TS : 44053672, TJ : 43791000
TS : 50051234, TJ : 49810731
TS : 37463986, TJ : 36665075
TS : 19896274, TJ : 19382693
TS : 6003487, TJ : 5745519
TS : 11978987, TJ : 11698882
TS : 1746286, TJ : 1487080
TS : 5473544, TJ : 3711211
TS : 7710848, TJ : 6241725
TS : 8199104, TJ : 4872158
TS : 11600449, TJ : 8498671
TS : 13129907, TJ : 12301661
TS : 32030819, TJ : 31768679
TS : 1746245, TJ : 1475692
TS : 1944613, TJ : 1719499
TS : 9841002, TJ : 9617976
TS : 134406402, TJ : 134177021
TS : 7095065, TJ : 3186113
TS : 12106851, TJ : 11712129
TS : 13086113, TJ : 9220730
TS : 1734005, TJ : 1520010
TS : 9607576, TJ : 4155129
TS : 20043844, TJ : 16768763
TS : 22588622, TJ : 21436089
TS : 8838540, TJ : 8622363
TS : 12895335, TJ : 12648022
TS : 3207803, TJ : 2675815
TS : 4678686, TJ : 3247424
TS : 4129521, TJ : 3327976
TS : 5658449, TJ : 5186135
TS : 1871020, TJ : 1553197
TS : 26141010, TJ : 22848026
TS : 2970616, TJ : 2547769
TS : 3655601, TJ : 2510034
TS : 12756377, TJ : 12533327
TS : 95314238, TJ : 95088626
TS : 79184971, TJ : 77308930
TS : 12265425, TJ : 6806278
TS : 18038290, TJ : 13911576
TS : 6177634, TJ : 2533946
TS : 7648421, TJ : 2593539
TS : 24463408, TJ : 24202607
TS : 95263175, TJ : 93750156
TS : 37170188, TJ : 26432549
TS : 1916696, TJ : 1687475
TS : 9717694, TJ : 9487406
TS : 16647805, TJ : 5116069
TS : 8439755, TJ : 6338474
TS : 19236891, TJ : 13243833
TS : 10746758, TJ : 9635783
TS : 29292248, TJ : 28946631
TS : 24278114, TJ : 20199813
TS : 27833631, TJ : 24774533
TS : 47738554, TJ : 38311722
TS : 4736127, TJ : 2240308
TS : 7489532, TJ : 6423943
TS : 4025519, TJ : 2716588
TS : 20772550, TJ : 20073100
TS : 2529408, TJ : 1832912
TS : 47341644, TJ : 42511036
TS : 84817464, TJ : 84249165
TS : 88489154, TJ : 87354145
TS : 20799662, TJ : 14713042
TS : 55688964, TJ : 54864595
TS : 61963373, TJ : 61536176
TS : 2714810, TJ : 1910678
TS : 2598462, TJ : 1956355
TS : 2939844, TJ : 1567912
TS : 17214185, TJ : 15494507
TS : 204205476, TJ : 191872555
TS : 4450810, TJ : 4206867
TS : 4372213, TJ : 4156633
TS : 1990477, TJ : 1614641
TS : 2352048, TJ : 2119079
TS : 6313563, TJ : 4872163
TS : 1524727, TJ : 1304318
TS : 27941369, TJ : 26953379
TS : 32084146, TJ : 31831543
TS : 36716189, TJ : 34178993
TS : 2147641, TJ : 1930677
TS : 6934991, TJ : 6694554
TS : 1736462, TJ : 1457891
TS : 2288945, TJ : 1834574
TS : 3568555, TJ : 2556962
TS : 3666696, TJ : 1258445
TS : 13062936, TJ : 12850951
TS : 113439769, TJ : 113197640
TS : 3826641, TJ : 3586399
TS : 1915172, TJ : 1532963
TS : 1632242, TJ : 1407179
TS : 2002414, TJ : 1364821
TS : 2756438, TJ : 2389563
TS : 3769853, TJ : 3265276
TS : 3579815, TJ : 3242790
TS : 28009361, TJ : 27529989
TS : 4674987, TJ : 4400556
TS : 1655628, TJ : 1281132
TS : 4811455, TJ : 4545869
TS : 1682625, TJ : 1351150
TS : 5156458, TJ : 4379089
TS : 2398784, TJ : 2187660
TS : 16827711, TJ : 15574079
TS : 1744231, TJ : 1516822
TS : 2113186, TJ : 1843795
TS : 29181028, TJ : 28492624
TS : 25984682, TJ : 25766969
TS : 1748224, TJ : 1486393
TS : 82708557, TJ : 82476077
TS : 17963676, TJ : 17638337
TS : 10063928, TJ : 6636271
TS : 14208519, TJ : 11415776
TS : 17961238, TJ : 16137876
TS : 22443609, TJ : 16452183
TS : 3244309, TJ : 1951481
TS : 5374853, TJ : 1590119
TS : 18520360, TJ : 18301151
TS : 34053197, TJ : 32015678
TS : 1909336, TJ : 1554950
TS : 9591043, TJ : 8656382
TS : 10389230, TJ : 5794097
TS : 14248259, TJ : 13799020
TS : 7635939, TJ : 5388756
TS : 35374222, TJ : 34910773
TS : 4563213, TJ : 4280125
TS : 52152310, TJ : 50846791
TS : 8678442, TJ : 7665717
TS : 8635494, TJ : 6091951
TS : 13633957, TJ : 9319835
TS : 16792749, TJ : 16041682
TS : 9876111, TJ : 9658276
TS : 21384723, TJ : 20508757
TS : 5691395, TJ : 5286284
TS : 11908912, TJ : 3504919
TS : 13938504, TJ : 7440061
TS : 9625994, TJ : 5826495
TS : 15187898, TJ : 12843526
TS : 15655881, TJ : 15058438
TS : 644991817, TJ : 644138015
TS : 25887813, TJ : 21239329
TS : 746570864, TJ : 743299563
TS : 20585836, TJ : 20351975
TS : 7871355, TJ : 5889238
TS : 12761061, TJ : 11735679
TS : 18764727, TJ : 11738875
TS : 22622456, TJ : 21335304
TS : 26247377, TJ : 25741080
TS : 7960912, TJ : 4094299
TS : 24355779, TJ : 21626730
TS : 1616101, TJ : 1375870
TS : 5145793, TJ : 4926949
TS : 5052173, TJ : 4833803
TS : 102890345, TJ : 92516072
TS : 42190284, TJ : 32601946
TS : 25472510, TJ : 25257350
TS : 8934746, TJ : 8245966
TS : 101790134, TJ : 101078197
TS : 87694625, TJ : 79112912
TS : 89539146, TJ : 76655395
TS : 4892640, TJ : 1615428
TS : 1955067, TJ : 1637499
TS : 1504371, TJ : 1301182
TS : 5669708, TJ : 5427207
TS : 107661191, TJ : 107387199
TS : 13342840, TJ : 5479302
TS : 8831338, TJ : 6297962
TS : 20151198, TJ : 19342787
TS : 21985049, TJ : 18773593
TS : 23619028, TJ : 22524874
TS : 2345170, TJ : 2115929
TS : 2177336, TJ : 1339385
TS : 11249788, TJ : 10506846
TS : 29776900, TJ : 27022303
TS : 60184676, TJ : 54232261
TS : 5997035, TJ : 5311398
TS : 7526425, TJ : 2947663
TS : 2002456, TJ : 1633138
TS : 1496235, TJ : 1277877
TS : 7118729, TJ : 6721597
TS : 5541776, TJ : 5203644
TS : 1693965, TJ : 1393560
TS : 7409956, TJ : 7207034
TS : 4607419, TJ : 2369217
TS : 1738161, TJ : 1444128
TS : 1619666, TJ : 1352865
TS : 12180048, TJ : 11427970
TS : 4280146, TJ : 4086932
TS : 8824590, TJ : 4409656
TS : 1420376, TJ : 1208362
TS : 1550164, TJ : 1292052
TS : 644746978, TJ : 643122509
TS : 36940172, TJ : 35239411
TS : 403783661, TJ : 403560206
TS : 11688110, TJ : 10558159
TS : 14939070, TJ : 14606069
TS : 13200777, TJ : 7633920
TS : 17286323, TJ : 15180892
TS : 7199389, TJ : 6664309
TS : 9270044, TJ : 3211612
TS : 1920137, TJ : 1536286
TS : 3901303, TJ : 2606812
TS : 11112842, TJ : 9817925
TS : 1987734, TJ : 1345261
TS : 29687997, TJ : 29277793
