TS : 974903, TJ : 867491
TS : 5590206, TJ : 5476985
TS : 961612, TJ : 849163
TS : 4285607, TJ : 4121469
TS : 1515084, TJ : 1352491
TS : 3285992, TJ : 3177458
TS : 1425926, TJ : 964860
TS : 3482975, TJ : 3388670
TS : 1657360, TJ : 1494002
TS : 1413305, TJ : 1264223
TS : 1278679, TJ : 1162139
TS : 1430809, TJ : 1280585
TS : 1147248, TJ : 1025779
TS : 1603540, TJ : 1430284
TS : 1385794, TJ : 1244021
TS : 1158067, TJ : 1044369
TS : 1520541, TJ : 1366034
TS : 993368, TJ : 884173
TS : 1617191, TJ : 1483695
TS : 3824832, TJ : 3684383
TS : 1037282, TJ : 922157
TS : 1106501, TJ : 986552
TS : 1163501, TJ : 1050507
TS : 5115776, TJ : 4982961
TS : 2333373, TJ : 1321900
TS : 2106032, TJ : 1230996
TS : 4458007, TJ : 3369552
TS : 2076321, TJ : 1058361
TS : 2633662, TJ : 1555351
TS : 12570431, TJ : 11688042
TS : 4621289, TJ : 2497069
TS : 4463410, TJ : 3561514
TS : 66093026, TJ : 65208090
TS : 3708008, TJ : 3575787
TS : 1080064, TJ : 964432
TS : 1765945, TJ : 1676023
TS : 5794872, TJ : 5593934
TS : 1186344, TJ : 1065737
TS : 1399782, TJ : 1293470
TS : 5911961, TJ : 5806891
TS : 2566420, TJ : 2468532
TS : 21765774, TJ : 21620168
TS : 6983505, TJ : 6839991
TS : 2035839, TJ : 1124008
TS : 2062352, TJ : 1107536
TS : 2783317, TJ : 1767083
TS : 2196948, TJ : 1174337
TS : 8953911, TJ : 8005557
TS : 4617426, TJ : 3365506
TS : 2205588, TJ : 1263376
TS : 2376997, TJ : 1359342
TS : 1914256, TJ : 1051553
TS : 2147032, TJ : 1228125
TS : 3439953, TJ : 2527503
TS : 4549008, TJ : 3659482
TS : 2434646, TJ : 1374612
TS : 2518336, TJ : 1001597
TS : 2314845, TJ : 1317789
TS : 2122405, TJ : 1032451
TS : 3313921, TJ : 2456271
TS : 2047642, TJ : 1171967
TS : 1878229, TJ : 1069207
TS : 1966180, TJ : 1097772
